연령별,기준년도,법규위반내용,사고건수
65세이상,2019,중앙선침범,1634
65세이상,2019,신호위반,4162
65세이상,2019,안전거리미확보,3235
65세이상,2019,일시정지위반,64
65세이상,2019,부당한회전,281
65세이상,2019,우선권양보불이행,11
65세이상,2019,진로양보불이행,5
65세이상,2019,안전운전의무불이행,17743
65세이상,2019,교차로운행방법위반,2269
65세이상,2019,보행자보호의무위반,1145
65세이상,2019,차로위반(진로변경),704
65세이상,2019,직진우회전진행방해,1129
65세이상,2019,철길건널목통과방법,1
65세이상,2019,기타,689
65세이상,2020,과속,79
65세이상,2020,앞지르기방법위반,19
65세이상,2020,앞지르기금지위반,46
65세이상,2020,중앙선침범,1462
65세이상,2020,신호위반,3539
65세이상,2020,안전거리미확보,3291
65세이상,2020,일시정지위반,65
65세이상,2020,부당한회전,309
65세이상,2020,진로양보불이행,8
65세이상,2020,안전운전의무불이행,16825
65세이상,2020,교차로운행방법위반,2192
65세이상,2020,보행자보호의무위반,918
65세이상,2020,차로위반(진로변경),657
65세이상,2020,직진우회전진행방해,990
65세이상,2020,철길건널목통과방법,1
65세이상,2020,기타,669
65세이상,2020,정비불량,2
65세이상,2021,앞지르기방법위반,24
65세이상,2021,앞지르기금지위반,74
65세이상,2021,중앙선침범,1624
65세이상,2021,신호위반,3729
65세이상,2021,안전거리미확보,3474
65세이상,2021,일시정지위반,97
65세이상,2021,부당한회전,291
65세이상,2021,우선권양보불이행,3
65세이상,2021,진로양보불이행,11
65세이상,2021,안전운전의무불이행,16979
65세이상,2021,교차로운행방법위반,2003
65세이상,2021,보행자보호의무위반,1169
65세이상,2021,차로위반(진로변경),565
65세이상,2021,직진우회전진행방해,1006
65세이상,2021,철길건널목통과방법,1
65세이상,2021,기타,790
65세이상,2021,정비불량,1
65세이상,2022,과로,1
65세이상,2022,앞지르기방법위반,5
65세이상,2022,앞지르기금지위반,60
65세이상,2022,중앙선침범,1645
65세이상,2022,신호위반,3927
65세이상,2022,안전거리미확보,3643
65세이상,2022,일시정지위반,110
65세이상,2022,부당한회전,300
65세이상,2022,진로양보불이행,10
65세이상,2022,안전운전의무불이행,19002
65세이상,2022,교차로운행방법위반,2240
65세이상,2022,보행자보호의무위반,1238
65세이상,2022,차로위반(진로변경),583
65세이상,2022,직진우회전진행방해,1035
65세이상,2022,철길건널목통과방법,1
65세이상,2022,기타,849
65세이상,2022,정비불량,3
미분류,2018,앞지르기방법위반,1
미분류,2018,앞지르기금지위반,7
미분류,2018,중앙선침범,98
미분류,2018,신호위반,297
미분류,2018,안전거리미확보,298
미분류,2018,일시정지위반,1
미분류,2018,부당한회전,17
미분류,2018,안전운전의무불이행,2887
미분류,2018,교차로운행방법위반,73
미분류,2018,보행자보호의무위반,244
미분류,2018,차로위반(진로변경),81
미분류,2018,직진우회전진행방해,23
미분류,2018,기타,180
미분류,2019,앞지르기방법위반,2
미분류,2019,앞지르기금지위반,3
미분류,2019,중앙선침범,100
미분류,2019,신호위반,303
미분류,2019,안전거리미확보,306
미분류,2019,부당한회전,14
미분류,2019,진로양보불이행,1
미분류,2019,안전운전의무불이행,2791
미분류,2019,교차로운행방법위반,86
미분류,2019,보행자보호의무위반,208
미분류,2019,차로위반(진로변경),61
미분류,2019,직진우회전진행방해,10
미분류,2019,기타,206
미분류,2020,앞지르기방법위반,3
미분류,2020,앞지르기금지위반,1
미분류,2020,중앙선침범,86
미분류,2020,신호위반,273
미분류,2020,안전거리미확보,274
미분류,2020,일시정지위반,3
미분류,2020,부당한회전,11
미분류,2020,안전운전의무불이행,2301
미분류,2020,교차로운행방법위반,70
미분류,2020,보행자보호의무위반,149
미분류,2020,차로위반(진로변경),63
미분류,2020,직진우회전진행방해,14
미분류,2020,기타,220
미분류,2020,정비불량,2
미분류,2021,중앙선침범,68
미분류,2021,신호위반,219
미분류,2021,안전거리미확보,237
미분류,2021,부당한회전,10
미분류,2021,안전운전의무불이행,1953
미분류,2021,교차로운행방법위반,50
미분류,2021,보행자보호의무위반,99
미분류,2021,차로위반(진로변경),48
미분류,2021,직진우회전진행방해,13
미분류,2021,기타,256
미분류,2022,중앙선침범,62
미분류,2022,신호위반,198
미분류,2022,안전거리미확보,201
미분류,2022,일시정지위반,1
미분류,2022,부당한회전,8
미분류,2022,진로양보불이행,1
미분류,2022,안전운전의무불이행,1870
미분류,2022,교차로운행방법위반,40
미분류,2022,보행자보호의무위반,124
미분류,2022,차로위반(진로변경),32
미분류,2022,직진우회전진행방해,9
미분류,2022,기타,168
